Gene	Normal	Tumour	FDR	AveExpr	P value	Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Tumour-1	Tumour-2	Tumour-3	Tumour-4	Tumour-5	Normal-1 CPM	Normal-2 CPM	Normal-3 CPM	Normal-4 CPM	Normal-5 CPM	Tumour-1 CPM	Tumour-2 CPM	Tumour-3 CPM	Tumour-4 CPM	Tumour-5 CPM
FOXN2	0	-1.52810297154943	0.0567859779101937	5.28240428031622	0.00761384274786156	2448	825	6047	871	2986	826	1782	1311	571	734	55.474	27.556	113.778	13.670	59.776	19.464	31.609	25.154	8.741	12.545
LIMCH1	0	-1.48216187551158	0.0569104833246264	7.06746849295058	0.00763341909855185	10625	5950	8140	8446	12873	1001	925	5761	4353	7193	240.774	198.738	153.159	132.555	257.704	23.588	16.408	110.536	66.636	122.937
STYXL1	0	1.10901898278836	0.0569998456599169	4.89210849364743	0.00764829253130989	750	571	821	1706	867	1729	2090	1686	4605	1432	16.996	19.072	15.448	26.775	17.356	40.742	37.072	32.349	70.494	24.475
CARD8	0	-1.21484300991039	0.0571078354303636	5.31966114635828	0.00766567540727705	2349	1735	3995	2053	2754	2004	1622	819	969	840	53.231	57.951	75.168	32.221	55.132	47.222	28.771	15.714	14.833	14.357
UNC13A	0	2.35645121266219	0.0571515357236632	-0.417781463874818	0.0076744362882905	13	7	17	8	8	135	12	48	26	75	0.295	0.234	0.320	0.126	0.160	3.181	0.213	0.921	0.398	1.282
NCRNA00113	0	5.06987189913381	0.0571581941602983	-3.6823841187079	0.00767831775855999	0	0	0	0	0	0	3	16	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.307	0.000	0.000
FCRLB	0	2.41207911798319	0.0571581941602983	1.09519753345152	0.00768112091516925	32	18	33	60	23	50	90	60	42	720	0.725	0.601	0.621	0.942	0.460	1.178	1.596	1.151	0.643	12.306
PAEP	0	3.91410982201147	0.0571994657797323	-0.878987716379695	0.00769760083631766	1	1	0	1	11	0	5	11	6	238	0.023	0.033	0.000	0.016	0.220	0.000	0.089	0.211	0.092	4.068
PSMC4	0	1.17069087998184	0.0571994657797323	6.34527065854655	0.00769442756443854	2397	1896	1600	4043	2295	3699	9262	8608	4290	3738	54.319	63.329	30.105	63.453	45.943	87.163	164.289	165.162	65.671	63.887
RPS6KA2	0	-1.1372280476146	0.0571994657797323	6.09134521871468	0.00769790974048462	3886	3424	5196	3899	5268	1416	1074	2462	3812	3101	88.061	114.366	97.766	61.193	105.460	33.367	19.051	47.238	58.354	53.000
PLA2G16	0	-2.07912673240026	0.0571994657797323	7.69602325454204	0.00769825653817995	13518	4593	29821	4357	24176	11349	290	1040	3031	4201	306.332	153.413	561.098	68.381	483.977	267.428	5.144	19.954	46.399	71.800
PPAPDC3	0	-1.95724947262814	0.0572190191913037	2.15213489531937	0.00770378649632688	342	194	424	85	520	43	50	82	196	147	7.750	6.480	7.978	1.334	10.410	1.013	0.887	1.573	3.000	2.512
KRT86	0	2.81214173305138	0.0572288839583767	2.38032064945716	0.00770801349636934	17	24	2	368	8	21	865	631	205	697	0.385	0.802	0.038	5.776	0.160	0.495	15.343	12.107	3.138	11.913
C4orf31	0	-1.80895965905579	0.0573038256490669	3.13275554274049	0.00772391247351671	651	193	423	1073	1079	218	28	140	219	442	14.752	6.446	7.959	16.840	21.600	5.137	0.497	2.686	3.352	7.554
KLHDC1	0	-1.88057105244104	0.0573038256490669	2.22365733702053	0.0077222596556297	315	216	502	260	392	86	40	37	280	141	7.138	7.215	9.445	4.081	7.847	2.027	0.710	0.710	4.286	2.410
NGFR	0	-2.08634992843587	0.0573364895506098	4.58521445214621	0.00773448656844871	1798	1962	407	4470	1189	195	282	29	2393	122	40.745	65.534	7.658	70.154	23.802	4.595	5.002	0.556	36.632	2.085
PCDHGA2	0	-1.96292844468023	0.0573364895506098	1.72934539314865	0.00773993236006357	205	68	278.53	304.21	422.44	107.86	32	46	69	98	4.646	2.271	5.241	4.774	8.457	2.542	0.568	0.883	1.056	1.675
PAPLN	0	-1.31124600907759	0.0573364895506098	4.05134761897962	0.00773888273422267	1395	826	761	1111	1398	369	680.01	258	945	455	31.612	27.590	14.319	17.437	27.986	8.695	12.062	4.950	14.466	7.776
FAM151A	0	-4.43421243668304	0.0573364895506098	-3.06631833448594	0.00773210953754133	2.88	18.5	0	0	11.22	0	1.45	0	0	0	0.065	0.618	0.000	0.000	0.225	0.000	0.026	0.000	0.000	0.000
ATP6AP1	0	1.22162126727363	0.0573736561599087	7.82920632037857	0.00774785570470655	4684	5332	5542	13903	5014	22230	9544	13459	17068	22065	106.144	178.096	104.276	218.200	100.375	523.829	169.291	258.238	261.278	377.116
SCARF1	0	-1.49770805872958	0.057397280208105	3.7167098664658	0.00775395331349488	1054	885	1037	364	909	212	191	399	603	505	23.885	29.560	19.512	5.713	18.197	4.996	3.388	7.656	9.231	8.631
NALCN	0	2.08875466098342	0.0574176504596284	2.6460893002363	0.00775961358658133	90	91	32	385	51	102	961	975	172	403	2.039	3.040	0.602	6.042	1.021	2.404	17.046	18.707	2.633	6.888
HSD17B10	0	1.12810131905853	0.0574662193188974	6.28284137611404	0.00776908820596379	1810	1770	2465	3299	2430	3075	9682	6969	5644	3387	41.017	59.120	46.380	51.776	48.646	72.459	171.739	133.714	86.399	57.888
SLC4A5	0	1.79677146447841	0.0574749410504616	3.7002073258654	0.00777537217328952	163.55	368.16	163.89	604.67	126	234.15	3205.79	752.59	696.41	616.56	3.706	12.297	3.084	9.490	2.522	5.518	56.864	14.440	10.661	10.538
ZNF662	0	-1.66244205868613	0.0574749410504616	3.21028145336073	0.00777608993748267	540	555	826	824	570	92	71	341	207	475	12.237	18.538	15.542	12.932	11.411	2.168	1.259	6.543	3.169	8.118
DSN1	0	1.27291608600928	0.0574799322797828	4.58396841063739	0.00777967678308073	498	543	684	1087	606	2422	2752	1484	1461	744	11.285	18.137	12.870	17.060	12.131	57.072	48.815	28.473	22.365	12.716
TFG	0	1.13889201264858	0.0575108663058801	7.14726370621405	0.00778981352595671	4093	3513	3748	6596	3454	7882	18892	9267	8559	7619	92.752	117.339	70.521	103.521	69.145	185.732	335.106	177.806	131.021	130.217
PPP1R1B	0	-1.99344606852351	0.0575108663058801	6.59974706897937	0.00779260294642029	1680	2995	15919	4754	10988	517	5653	2909	1036	182	38.071	100.037	299.525	74.611	219.968	12.183	100.273	55.815	15.859	3.111
LOC100128191	0	2.26004450839685	0.0575108663058801	1.63024609598464	0.0077920307736043	39.99	42.23	32.48	77.79	62.76	78.83	990.59	100.53	99.5	107.08	0.906	1.411	0.611	1.221	1.256	1.858	17.571	1.929	1.523	1.830
TSEN34	0	1.14974827467549	0.0575829008927863	5.6464980759095	0.00780528025474096	1325	1349	1031	2986	1042	3541	6188	3539	3517	1603	30.026	45.058	19.399	46.864	20.860	83.440	109.763	67.903	53.838	27.397
OPN3	0	1.41990843796362	0.0577057293948293	4.95253379288356	0.00782485247644403	514.45	551.41	644.63	1900.76	743.73	620.85	3816.77	4394.74	2029.36	1064.52	11.658	18.418	12.129	29.831	14.889	14.630	67.702	84.322	31.066	18.194
