Gene	Normal	Tumour	FDR	AveExpr	P value	Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Tumour-1	Tumour-2	Tumour-3	Tumour-4	Tumour-5	Normal-1 CPM	Normal-2 CPM	Normal-3 CPM	Normal-4 CPM	Normal-5 CPM	Tumour-1 CPM	Tumour-2 CPM	Tumour-3 CPM	Tumour-4 CPM	Tumour-5 CPM
CA4	0	-9.3083044249894	2.47436885056426e-22	3.79066466849323	1.25335267478688e-26	1470	619	1521	857	1907	6	1	0	3	1	33.312	20.675	28.618	13.450	38.176	0.141	0.018	0.000	0.046	0.017
ATP1A2	0	-8.27021368119012	1.43646349274439e-15	6.62782792794174	1.45523603762982e-19	3629	2207	19894	10639	11875	42	9	4	123	15	82.237	73.717	374.316	166.973	237.725	0.990	0.160	0.077	1.883	0.256
HBB	0	-7.31686028783937	1.32289600619671e-13	7.18650532830624	2.01027657714018e-17	10602	3126	41120	2702	8187	27	119	151	126	72	240.253	104.413	773.695	42.406	163.895	0.636	2.111	2.897	1.929	1.231
MMP13	0	8.09007037842091	1.20765617845684e-12	3.00163195374416	2.44687707113127e-16	0	3	0	6	5	1573	720	428	306	999	0.000	0.100	0.000	0.094	0.100	37.066	12.771	8.212	4.684	17.074
GJB2	0	6.02519253228039	1.57575528796031e-12	5.51211874649265	3.99087044868887e-16	29	67	24	183	57	4367	2685	2424	1141	13024	0.657	2.238	0.452	2.872	1.141	102.904	47.626	46.509	17.466	222.595
COL10A1	0	7.03345188273428	1.12214270714432e-11	6.42447411077941	4.04946027702974e-15	20	68	7	170	73	11783	538	10952	6583	14092	0.453	2.271	0.132	2.668	1.461	277.655	9.543	210.136	100.773	240.848
SOD3	0	-4.42459112750447	1.12214270714432e-11	6.12787177540696	3.60555077647065e-15	6575	4359	6535	6275	7513	97	300	345	972	138	148.997	145.597	122.960	98.483	150.402	2.286	5.321	6.620	14.879	2.359
BTNL9	0	-6.22947498025404	1.12214270714432e-11	6.59185562437006	4.54723009682633e-15	7046	4489	21092	1219	8488	157	157	19	260	127	159.670	149.939	396.858	19.132	169.921	3.700	2.785	0.365	3.980	2.171
FGF2	0	-4.22222907308889	1.76226514016215e-11	5.98496966429839	8.03382953168846e-15	4434.59	2271.5	10563.12	3389.07	7224.91	239.77	505.71	147.39	584.47	350.2	100.493	75.871	198.751	53.190	144.635	5.650	8.970	2.828	8.947	5.985
HBA2	0	-6.54833809618029	2.15820685029979e-11	6.52307917358023	1.09320577970813e-14	5223	1536	28086	2252	4625	21	137	116.72	121	141	118.359	51.305	528.453	35.344	92.587	0.495	2.430	2.240	1.852	2.410
CES1	0	-4.89811667850633	2.63079913639034e-11	6.82793479477882	1.56932182481668e-14	13156	5903	12860	2689	14317	199	168	328	920	525	298.129	197.168	241.968	42.202	286.611	4.689	2.980	6.293	14.083	8.973
AKR1C2	0	-5.42351674519181	2.63079913639034e-11	7.12733675965497	1.59910797470793e-14	12377	4002	21322	15595	13135	149	283	626	54	508	280.476	133.672	401.185	244.755	262.948	3.511	5.020	12.011	0.827	8.682
MMP11	0	6.44611589474532	2.81390873318149e-11	7.53599570586396	1.85294364964844e-14	182	132	113	461	194	28798	717	16607	8587	39168	4.124	4.409	2.126	7.235	3.884	678.597	12.718	318.638	131.450	669.426
SDPR	0	-4.58245595924774	3.84195621257494e-11	6.38702733625307	2.72451560004301e-14	8226	3251	12398	4845	8450	245	329	72	896	444	186.410	108.588	233.275	76.040	169.160	5.773	5.836	1.381	13.716	7.588
FAM107A	0	-4.35904044352519	1.04118041975151e-10	5.58052699969628	7.91090380724987e-14	6150	3793	4696	2184	3386	131	331	111	654	97	139.366	126.691	88.358	34.277	67.784	3.087	5.871	2.130	10.011	1.658
CFD	0	-6.16086869177411	1.67878536569142e-10	7.70719423716155	1.44561600733229e-13	35000	6704	16253	4087	30125	551	113	53	645	244	793.138	223.923	305.809	64.143	603.070	12.984	2.004	1.017	9.874	4.170
LYVE1	0	-6.33180212805348	1.67878536569142e-10	6.5846378197398	1.44323889058648e-13	16735	1813	13871	678	9126	40	211	42	175	203	379.233	60.557	260.990	10.641	182.693	0.943	3.743	0.806	2.679	3.470
COL11A1	0	9.65917835134048	3.5243657188656e-10	7.50583920455613	3.21338177183572e-13	27	17	0	36	29	15914	625	22985	560	52539	0.612	0.568	0.000	0.565	0.581	374.998	11.086	441.013	8.573	897.951
MLXIPL	0	-6.17795358308648	4.56687364098353e-10	5.10161686699226	4.40599758660491e-13	1885	616	8795	213	3804	42	89	38	45	37	42.716	20.575	165.483	3.343	76.152	0.990	1.579	0.729	0.689	0.632
ATOH8	0	-4.66971772031112	4.56687364098353e-10	3.79698990870294	4.62655621617216e-13	1398	716	1636	442	1803	55	53	33	109	45	31.680	23.915	30.782	6.937	36.094	1.296	0.940	0.633	1.669	0.769
GCOM1	0	-4.48788863405781	6.63526740407418e-10	5.82418764761244	7.05808000635993e-13	7432.5	2104.74	5709.96	769.24	8119.49	284.55	223.55	217.91	264.89	299.44	168.428	70.301	107.436	12.073	162.543	6.705	3.965	4.181	4.055	5.118
MYOC	0	-8.89643342899978	7.47348215685054e-10	4.15448897565225	8.32826499091844e-13	1143	424	2193	50	4191	0	2	0	17	4	25.902	14.162	41.262	0.785	83.899	0.000	0.035	0.000	0.260	0.068
SCN4A	0	-5.95265416783385	1.11543935751069e-9	4.25574630489501	1.29951905697223e-12	1072	657	4560	303	1869	56	41	6	34	24	24.293	21.945	85.799	4.755	37.415	1.320	0.727	0.115	0.520	0.410
HEPACAM	0	-8.94778095262491	1.36329078913551e-9	3.65046171297757	1.65732848441152e-12	895.98	271.26	2402.98	68.97	1998.42	6.62	5.56	0	0	0	20.304	9.060	45.213	1.082	40.006	0.156	0.099	0.000	0.000	0.000
ITGA7	0	-5.06693032968372	1.4469281291073e-9	7.18718788183431	1.88802287430655e-12	15079	3543	21216	1319	22435	418	430	372	820	315	341.706	118.341	399.191	20.701	449.124	9.850	7.627	7.138	12.553	5.384
ITIH5	0	-4.9300390268389	1.4469281291073e-9	8.09267751378223	1.90558866157379e-12	37657	14006	28651	3864	32217	564	704	487	1198	1891	853.348	467.820	539.084	60.643	644.949	13.290	12.488	9.344	18.339	32.319
FMO2	0	-5.26398923695689	1.83986816245237e-9	7.39929618809747	2.51628205785705e-12	17111	2299	31711	5351	19324	568	494	116	1043	232	387.754	76.790	596.660	83.981	386.846	13.384	8.763	2.226	15.966	3.965
AQPEP	0	-8.21882829720179	2.9644716478643e-9	4.6662836550001	4.20449833553847e-12	1521.43	296.46	7247.24	18	2338.62	12	19	4	5	4	34.477	9.902	136.361	0.283	46.817	0.283	0.337	0.077	0.077	0.068
LEPR	0	-3.73978454271317	3.53026153538747e-9	6.18467301849442	5.18577573327102e-12	10149.61	2882.26	8479.28	2183.02	6690.18	390.08	398.26	392.18	863.34	789.07	230.001	96.271	159.542	34.261	133.930	9.192	7.064	7.525	13.216	13.486
AOX1	0	-4.20463277162184	3.70608178324597e-9	5.44710747633236	5.63177254064325e-12	3816	2137	4997	765	6715	176	292	91	449	275	86.475	71.379	94.021	12.006	134.427	4.147	5.179	1.746	6.873	4.700
LEP	0	-9.18046573184422	4.34273329026593e-9	8.03403781754535	6.81920433584459e-12	41903	11177	23474	436	37634	133	46	30	1	4	949.567	373.327	441.676	6.843	753.392	3.134	0.816	0.576	0.015	0.068
SLC2A4	0	-7.30120762401532	4.6948208888223e-9	5.54525555864456	7.60988088553914e-12	898	462	13038	111	6644	22	25	12	87	28	20.350	15.431	245.317	1.742	133.006	0.518	0.443	0.230	1.332	0.479
ACSM5	0	-6.25829544408325	4.8802786595916e-9	4.20814392959553	8.31072926298953e-12	1260	442	4588	119	1784	38	13	6	43	31	28.553	14.763	86.326	1.868	35.714	0.895	0.231	0.115	0.658	0.530
HSD17B13	0	-7.0836891277588	4.8802786595916e-9	3.31148812684983	8.40489689120223e-12	1149	494	1965	39	655	4	22	2	5	6	26.038	16.500	36.973	0.612	13.112	0.094	0.390	0.038	0.077	0.103
AQP7	0	-8.17573071611343	5.52298944893645e-9	6.78972488511384	9.85672057687397e-12	7252	1746	26058	485	14315	62	102	1	33	5	164.338	58.319	490.296	7.612	286.571	1.461	1.809	0.019	0.505	0.085
NPR1	0	-4.64735379297797	5.52298944893645e-9	6.44958877358943	1.00713007882541e-11	8055	3186	11902	771	13575	245	246	445	596	318	182.535	106.417	223.943	12.100	271.757	5.773	4.364	8.538	9.124	5.435
G0S2	0	-6.4658400674882	6.94736883464856e-9	7.3790998135998	1.30205980590617e-11	21138	3857	30970	199	17057	175	421	118	185	108	479.010	128.829	582.717	3.123	341.463	4.124	7.468	2.264	2.832	1.846
KIAA1199	0	5.86185211551209	7.28157477718481e-9	4.12838471806384	1.40157958430262e-11	19	36	13	64	14	622	1081	2186	151	4923	0.431	1.202	0.245	1.004	0.280	14.657	19.175	41.943	2.312	84.140
PPARG	0	-5.11743096022223	7.4284480157856e-9	6.68644289721324	1.4674778270471e-11	7353	2185	20655	913	14127	278	456	364	264	159	166.627	72.982	388.635	14.329	282.807	6.551	8.089	6.984	4.041	2.717
PDE2A	0	-4.13623034759279	7.84252297564629e-9	5.75455202015119	1.59311802986579e-11	4392	3023	8985	782	5370	219	254	282	691	213	99.527	100.972	169.058	12.273	107.502	5.161	4.505	5.411	10.578	3.640
C14orf139	0	-4.70793935244813	7.84252297564629e-9	5.36517231065809	1.62872779860955e-11	3600	1379	7574	316	4838	78	185	133	251	205	81.580	46.060	142.509	4.959	96.852	1.838	3.282	2.552	3.842	3.504
LIPE	0	-6.90804625431964	8.16801113277206e-9	8.76541085062261	1.73769865047324e-11	47123.52	10079.58	82974.95	847	51678.72	742	422	110	495	141.93	1067.870	336.672	1561.219	13.293	1034.552	17.485	7.485	2.111	7.577	2.426
FHL1	0	-5.88974510131449	8.34737333014367e-9	9.84457954214389	1.86042157089617e-11	158287	31419	110784	4410	93106	1196	1944	1256	2363	1697	3586.954	1049.438	2084.462	69.213	1863.881	28.183	34.483	24.099	36.173	29.004
MYOM1	0	-5.1007902638566	8.34737333014367e-9	4.46380403688053	1.85807100055427e-11	2106	690	3040	246	3524	35	26	79	143	71	47.724	23.047	57.199	3.861	70.547	0.825	0.461	1.516	2.189	1.213
SLC4A4	0	-5.65224513104334	9.78171935981696e-9	4.24202297047702	2.22964933234608e-11	1174	316	4631	177	2105	20	25	43	83	38	26.604	10.555	87.135	2.778	42.140	0.471	0.443	0.825	1.271	0.649
MAPK8IP2	0	4.44864222387792	1.03507299801042e-8	5.00837834174892	2.4117798555607e-11	59	213	58	262	81	2625	580	5747	3106	3989	1.337	7.114	1.091	4.112	1.622	61.856	10.288	110.268	47.547	68.177
ADAMTS5	0	-3.09838590357242	1.7522595438009e-8	6.22295403169728	4.17162387593163e-11	8618	2288	7241	6369	7308	398	1170	589	1096	1105	195.293	76.422	136.243	99.958	146.298	9.378	20.753	11.301	16.778	18.886
CST1	0	9.84783666973727	2.0073179238176e-8	3.11981649786244	4.88052174770767e-11	1	0	0	1	2	1365	20	350	3455	10	0.023	0.000	0.000	0.016	0.040	32.165	0.355	6.715	52.889	0.171
C14orf180	0	-8.55251079307353	2.45464025405541e-8	4.50620551471981	6.09246137416246e-11	1720	392	4949	13	3110	14	11	0	1	4	38.977	13.093	93.118	0.204	62.259	0.330	0.195	0.000	0.015	0.068
RBP4	0	-7.97874374255529	2.72380284464494e-8	7.79007346795426	6.89849773235979e-11	13002	8690	44403	324	31618	135	263	4	40	17	294.639	290.258	835.467	5.085	632.958	3.181	4.665	0.077	0.612	0.291
GPR146	0	-4.35591290414432	3.29151902301007e-8	5.02568558667791	8.50306302165503e-11	3103	1559	5722	351	2980	92	119	258	228	123	70.317	52.073	107.663	5.509	59.656	2.168	2.111	4.950	3.490	2.102
NTRK2	0	-3.91119505918317	3.29167629530899e-8	7.887172327053	8.83693869169164e-11	18439	5458	23604	45719	22580	667	1351	598	4874	1510	417.848	182.305	444.122	717.534	452.027	15.717	23.964	11.474	74.611	25.808
CD300LG	0	-7.19155027014453	3.29167629530899e-8	6.13311604686961	8.7384368844727e-11	6800	4670	11064	887	7080	93	88	0	76	2	154.095	155.984	208.175	13.921	141.734	2.191	1.561	0.000	1.163	0.034
CIDEC	0	-8.85183441769469	3.37356102101156e-8	8.25646168887696	9.22765146057261e-11	22400.84	6816	68490	214	38935.27	121	185	12	17	3.04	507.627	227.664	1288.677	3.359	779.442	2.851	3.282	0.230	0.260	0.052
PCK1	0	-9.00755089408687	4.06846373102044e-8	6.86456374942644	1.13344901836756e-10	3494	1252	34304	15	13736	27	48	1	10	34	79.178	41.819	645.449	0.235	274.980	0.636	0.851	0.019	0.153	0.581
CLEC3B	0	-5.16220038881152	4.32798967026484e-8	6.51493899280966	1.22767410361073e-10	18464	4925	5258	2656	7924	154	65	79	1167	124	418.414	164.502	98.932	41.684	158.630	3.629	1.153	1.516	17.864	2.119
TIMP4	0	-7.71664671264052	5.31904195374879e-8	6.9783683624585	1.53573797671807e-10	9011	2206	29167	133	15966	155	73	4	67	10	204.199	73.683	548.793	2.087	319.622	3.652	1.295	0.077	1.026	0.171
ENPP2	0	-3.61713432531072	6.58190732823764e-8	7.27749381989007	1.93369782715927e-10	15703	7225	22186	4303	14895	1005	1703	499	2012	1373	355.847	241.325	417.442	67.533	298.182	23.682	30.208	9.574	30.800	23.466
ABCA10	0	-4.71984711027978	6.65198799416449e-8	3.56134226670189	1.98798141857818e-10	687	724	1993	528	1208.55	43	35	18	147	14	15.568	24.183	37.499	8.287	24.194	1.013	0.621	0.345	2.250	0.239
KLB	0	-6.88118291942318	6.65362209211497e-8	5.5715592303688	2.02217265488247e-10	3409	977	9965	89	6754	67	107	12	10	9	77.252	32.633	187.497	1.397	135.208	1.579	1.898	0.230	0.153	0.154
TNXB	0	-5.36638063563468	1.05104416190321e-7	8.46340986116293	3.24757845588572e-10	64627.6	8782.41	21768.7	16141.86	46523.4	737.68	202.97	161.41	3592.43	549.09	1464.531	293.345	409.590	253.338	931.348	17.383	3.600	3.097	54.993	9.385
ALDH1L1	0	-6.67277271984281	1.31134650775847e-7	5.95958926108206	4.11830024724066e-10	2675	1213	14602	185	9179	27	56	3	71	185	60.618	40.516	274.745	2.903	183.754	0.636	0.993	0.058	1.087	3.162
PPP1R1A	0	-5.97300932153837	1.42592228924226e-7	7.1763155120978	4.59118014197012e-10	10902	4304	25579	2606	21051	75	158	24	1194	51	247.051	143.760	481.283	40.900	421.418	1.767	2.803	0.460	18.278	0.872
RDH5	0	-5.73620723212741	1.42592228924226e-7	5.59552010331758	4.62258264165255e-10	3272.66	1232.33	10124.41	174	6488.93	61.54	289.53	38	63.8	30	74.162	41.162	190.496	2.731	129.901	1.450	5.136	0.729	0.977	0.513
CPA1	0	-8.44394093109928	1.50154807802589e-7	0.834236543003225	4.94380635557102e-10	217	32	320	15	200	1	1	0	0	0	4.917	1.069	6.021	0.235	4.004	0.024	0.018	0.000	0.000	0.000
ABCA9	0	-4.94321804230483	1.62457825957877e-7	5.79413552341371	5.43117035417885e-10	5973	1134	8043	1181	8101	242	118	11	207	377	135.355	37.877	151.333	18.535	162.173	5.702	2.093	0.211	3.169	6.443
MAOA	0	-5.27662638051445	1.88824376772069e-7	7.88530724305149	6.4675810355678e-10	22882	4295	40214	4939	32752	1279	338	56	1192	397	518.531	143.459	756.648	77.515	655.660	30.138	5.995	1.074	18.247	6.785
KCNIP2	0	-7.23166772259069	1.88824376772069e-7	7.50284846148224	6.50392950081081e-10	9104	2586	44012	114	25690	99	366	25	37	114	206.306	86.376	828.110	1.789	514.286	2.333	6.492	0.480	0.566	1.948
SEMA3G	0	-4.75668328768676	2.14978628915146e-7	7.2691183185	7.51368928940587e-10	29092	7303	15480	2728	10707	788	449	214	1655	95	659.256	243.930	291.265	42.814	214.343	18.568	7.964	4.106	25.335	1.624
AKR1C1	0	-4.89233656819503	2.17764529879912e-7	6.95408938904642	7.75803856323042e-10	17810	4401	14572	2437.46	14385	262	526	1006	87	122	403.594	146.999	274.180	38.255	287.972	6.174	9.330	19.302	1.332	2.085
C12orf39	0	-10.739007889688	2.17764529879912e-7	3.41456607998959	7.93198340505028e-10	220	11	2646	1	1994	0	0	0	2	1	4.985	0.367	49.786	0.016	39.918	0.000	0.000	0.000	0.031	0.017
TMEM132C	0	-6.89431132546434	2.17764529879912e-7	5.90670530503252	7.94197454733747e-10	5066	768	11684	585	8914	104	40	10	125	0	114.801	25.652	219.841	9.181	178.449	2.451	0.710	0.192	1.914	0.000
ADH1A	0	-8.56126179566852	2.20364123135792e-7	4.47209682681951	8.14840491789728e-10	1117.96	91	6015.78	29	2813.96	10	14	0	7	0	25.334	3.040	113.190	0.455	56.332	0.236	0.248	0.000	0.107	0.000
MYBL2	0	5.87194955265808	2.3105117368224e-7	5.87414326561056	8.73411501972444e-10	84	36	28	309	90	2568	15060	9977	111	1630	1.904	1.202	0.527	4.850	1.802	60.512	267.134	191.429	1.699	27.859
MAP1LC3C	0	-5.6465534773969	2.3105117368224e-7	2.55389679405626	8.77765070720698e-10	287	406	1271	99	460	6	4	6	28	22	6.504	13.561	23.915	1.554	9.209	0.141	0.071	0.115	0.429	0.376
ABCD2	0	-6.43988450886477	2.47056518925707e-7	4.89492601911964	9.61413123557711e-10	1247	279	8137	36	3648	51	51	8	47	27	28.258	9.319	153.102	0.565	73.029	1.202	0.905	0.153	0.719	0.461
INHBA	0	4.40309076693412	2.47056518925707e-7	4.27381557533794	9.73933722198435e-10	67	41	52	153	126	1258	257	2713	859	4513	1.518	1.369	0.978	2.401	2.522	29.644	4.559	52.054	13.150	77.132
HSPB6	0	-5.43215406096927	2.47056518925707e-7	8.40311124921758	9.76112272120614e-10	20524	12539	68885	926	44474	325	923	809	2047	370	465.096	418.820	1296.109	14.533	890.321	7.658	16.372	15.522	31.336	6.324
TPX2	0	4.91533020139004	2.66691104381667e-7	6.27741499378542	1.06719669973416e-9	185	115	90	749	228	7480	19136	9550	736	1172	4.192	3.841	1.693	11.755	4.564	176.259	339.434	183.236	11.267	20.031
EBF1	0	-3.78181887558454	2.84894124650351e-7	6.26880133098626	1.16890001502778e-9	6762	2409	11536	1052	10530	399	750	348	984	472	153.234	80.464	217.056	16.511	210.799	9.402	13.303	6.677	15.063	8.067
AKR1C3	0	-3.13460205421378	2.84894124650351e-7	6.39404014303875	1.16823579549856e-9	7521	4197	10308	6182	6971	449	1545	1335	892	374	170.434	140.186	193.951	97.023	139.552	10.580	27.405	25.615	13.655	6.392
TNNT1	0	7.70456043473348	2.90947164673362e-7	3.79631164841533	1.20847267263781e-9	0	10	0	11	10	2129	10	2837	757	1063	0.000	0.334	0.000	0.173	0.200	50.168	0.177	54.433	11.588	18.168
GLYAT	0	-8.57419117869287	3.10765404946447e-7	4.21124434404348	1.3065306762514e-9	1885	662	3192	14	2415	10	14	0	0	0	42.716	22.112	60.059	0.220	48.346	0.236	0.248	0.000	0.000	0.000
PAMR1	0	-3.49935087210087	3.17424324121796e-7	5.00764389141879	1.3666835959048e-9	3577	1606	1061	4178	3976	84	167	139	806	384	81.059	53.643	19.963	65.571	79.595	1.979	2.962	2.667	12.338	6.563
ACVR1C	0	-7.19979325995038	3.17424324121796e-7	7.09062302928953	1.35998588207625e-9	3487	1092	37241	169	19729	83	219	49	8	122	79.019	36.474	700.710	2.652	394.953	1.956	3.885	0.940	0.122	2.085
ABCA8	0	-5.23148223240612	3.21508235043626e-7	6.74216627210551	1.40055253843338e-9	8608	2838	18116	2112	15657	353	210	7	806	260	195.067	94.793	340.862	33.147	313.436	8.318	3.725	0.134	12.338	4.444
GLDN	0	-5.21683524356154	3.34373617822531e-7	4.61396825927923	1.47353382385575e-9	1022	1029	6791	277	1526	86	60	7	68	127	23.160	34.370	127.776	4.347	30.549	2.027	1.064	0.134	1.041	2.171
HRASLS5	0	-5.40464209752083	3.65405139335941e-7	5.89133147788603	1.62879405640578e-9	4905	1173	12084	941	7218	136	76	19	596	30	111.153	39.180	227.367	14.768	144.497	3.205	1.348	0.365	9.124	0.513
CIDEA	0	-8.78413179063339	3.66944507309981e-7	6.55886232657488	1.68612314148488e-9	6765	463	21842	57	13571	41	52	0	18	1	153.302	15.465	410.969	0.895	271.677	0.966	0.922	0.000	0.276	0.017
TGFBR3	0	-3.99878427264065	3.66944507309981e-7	7.57793256037146	1.69141678478413e-9	19966	6518	21358	10545	24950	774	1811	142	3186	820	452.451	217.710	401.862	165.498	499.472	18.239	32.123	2.725	48.771	14.015
SORBS1	0	-4.72446723538164	3.66944507309981e-7	9.20013145137622	1.66894121931897e-9	66452	14442	86779	5546	81050	1348	1594	2590	4588	1987	1505.874	482.383	1632.794	87.041	1622.533	31.764	28.274	49.694	70.233	33.960
APOB	0	-6.920576857833	3.83216714360716e-7	3.94957171066488	1.80524538727315e-9	1025	58	3446	19	2411	9	22	6	5	25	23.228	1.937	64.838	0.298	48.266	0.212	0.390	0.115	0.077	0.427
MYH1	0	-7.08614119100763	3.83216714360716e-7	1.72642772831488	1.7969556226641e-9	298	148	551	5	432	2	1	4	2	3	6.753	4.943	10.367	0.078	8.648	0.047	0.018	0.077	0.031	0.051
AOC3	0	-5.24694816425527	4.54298500892302e-7	9.30018884012632	2.16310703494461e-9	64315	13396	120617	2031	74683	1440	1765	1758	2508	1384	1457.447	447.445	2269.475	31.875	1495.073	33.932	31.308	33.731	38.393	23.654
ANLN	0	4.79317262663606	4.68628565690596e-7	5.51239747245047	2.25507616961841e-9	147	54	29	553	120	2466	7577	9976	724	1299	3.331	1.804	0.546	8.679	2.402	58.109	134.401	191.409	11.083	22.201
RGS4	0	4.38405876404558	5.05385442761719e-7	4.67264991947275	2.45755255319243e-9	135	105	109	147	51	977	6508	417	6051	521	3.059	3.507	2.051	2.307	1.021	23.022	115.439	8.001	92.629	8.904
LRRC15	0	3.76709797955103	5.33629744392465e-7	6.24676715459306	2.62192712015343e-9	805	297	357	311	592	10830	1245	3650	6641	15143	18.242	9.920	6.717	4.881	11.851	255.199	22.084	70.032	101.661	258.811
CHRDL1	0	-5.23355088052835	6.04134716347287e-7	8.21374973615313	2.99894652021244e-9	40726	11770	41035	2715	31593	596	1532	706	1428	38	922.895	393.134	772.096	42.610	632.458	14.044	27.175	13.546	21.860	0.649
PDE8B	0	-4.31581944973264	6.33563035100719e-7	3.77724252611949	3.19044142612885e-9	1855	459	1859	427	1287	90	41	23	193	33	42.036	15.331	34.978	6.702	25.764	2.121	0.727	0.441	2.954	0.564
LOC283392	0	-8.88373218129254	6.33563035100719e-7	4.5604122105432	3.20921403657542e-9	1651.96	203.21	4955.66	19.59	3830.09	12.65	11.6	0	0	0	37.435	6.787	93.243	0.307	76.674	0.298	0.206	0.000	0.000	0.000
MFAP2	0	2.84828627613439	6.48022708132768e-7	5.14689804721591	3.31528181143803e-9	360	321	402	190	663	2541	3655	4137	3885	2488	8.158	10.722	7.564	2.982	13.273	59.876	64.832	79.377	59.472	42.523
CD36	0	-6.28146332248789	6.51515787838256e-7	10.7524425780088	3.36615390332804e-9	149934	59062	350356	9063	190257	2276	6156	978	393	1656	3397.666	1972.752	6592.140	142.239	3808.739	53.632	109.195	18.765	6.016	28.303
CRHBP	0	-6.36865608561474	6.68139697689171e-7	2.55495100370024	3.48588739043585e-9	392	267	1487	99	334	5	3	0	30	5	8.883	8.918	27.979	1.554	6.686	0.118	0.053	0.000	0.459	0.085
CCDC69	0	-4.15424701372377	7.00097489016643e-7	7.00252693221173	3.68808321637782e-9	12787	4915	16833	1203	18274	803	743	157	1467	720	289.767	164.168	316.722	18.880	365.826	18.922	13.179	3.012	22.457	12.306
CHL1	0	-4.58236742889581	7.12643528008171e-7	5.87712832761567	3.79027304431456e-9	10113	1428	6323	1739	5900	239	628	59	360	28	229.171	47.697	118.971	27.293	118.112	5.632	11.139	1.132	5.511	0.479
IGSF10	0	-3.4215370877436	7.15216631483096e-7	5.28404929243099	3.84018655339926e-9	2781	1375	6165	1180	4710	326	113	402	496	465	63.020	45.927	115.998	18.519	94.289	7.682	2.004	7.713	7.593	7.947
IGFBP6	0	-3.51109061108276	7.44921020964217e-7	5.39774177023497	4.03741005182713e-9	6508	2019	1515	2555	5145	244	84	302	924	423	147.478	67.437	28.506	40.099	102.997	5.750	1.490	5.794	14.145	7.230
HPD	0	-9.39179860746357	7.79695023640882e-7	2.82899708262852	4.26537648430834e-9	45	98	7	4744	25	1	0	1	1	2	1.020	3.273	0.132	74.454	0.500	0.024	0.000	0.019	0.015	0.034
TMEM37	0	-4.40005263222994	7.94298893575194e-7	6.05584317375024	4.38550194507629e-9	9030	3074	7707	236	7750	217	284	127	878	282	204.630	102.676	145.011	3.704	155.147	5.113	5.038	2.437	13.440	4.820
C7orf58	0	-4.31155570382221	8.10201623118896e-7	6.3070811871658	4.51434396429331e-9	7760	1279	13363	940	10794	369	127	208	882	591	175.850	42.720	251.432	14.753	216.084	8.695	2.253	3.991	13.502	10.101
CNTFR	0	-6.6394815171396	8.65939192983644e-7	5.22970292636726	4.86876964953827e-9	2091	1001	8731	111	4730	41	113	12	35	0	47.384	33.435	164.279	1.742	94.689	0.966	2.004	0.230	0.536	0.000
PLIN4	0	-7.92955675359203	9.01085788513917e-7	10.8125630141526	5.11202554521116e-9	332663	32086	190655	3549	236383	2035	923	65	698	29	7538.501	1071.717	3587.278	55.700	4732.132	47.953	16.372	1.247	10.685	0.496
MAMDC2	0	-3.58925988633039	9.66583853337956e-7	4.96688116782925	5.53256891030235e-9	4467.94	803.96	1825.97	3103.27	3678.95	142.87	64	198.91	819.88	215.97	101.248	26.853	34.357	48.704	73.649	3.367	1.135	3.816	12.551	3.691
FAM13A	0	-4.0750566838028	0.00000100867354413164	7.12711878788054	5.82457623498162e-9	6071.06	1940.2	31023.34	2970.58	18756.05	919.55	643.63	1016.16	856.8	688.8	137.577	64.805	583.721	46.622	375.476	21.668	11.417	19.497	13.116	11.772
GPAM	0	-5.66362825312919	0.00000102823890341985	9.37873859564493	5.98964005132622e-9	28589	7994	134702	2018	123774	1418	2040	1300	867	1120	647.857	267.011	2534.492	31.671	2477.821	33.414	36.185	24.943	13.272	19.142
KCNB1	0	-5.1544542163626	0.00000118727890251283	2.95078305493485	6.97621075329186e-9	501	95	1650	123	1058	29	32	17	13	18	11.353	3.173	31.046	1.930	21.180	0.683	0.568	0.326	0.199	0.308
SLC19A3	0	-7.00714317866523	0.00000124403761227825	7.57101517618326	7.3727282259424e-9	9470	2749	46527	199	26423	247	385	76	24	12	214.600	91.820	875.431	3.123	528.960	5.820	6.829	1.458	0.367	0.205
GYG2	0	-5.46604222617649	0.00000125326329183704	8.31451854002005	7.49088584929443e-9	19456	3912	71965	582	45031	1081	387	682	652	870	440.894	130.666	1354.061	9.134	901.472	25.473	6.865	13.086	9.981	14.869
COL6A6	0	-4.87141745721524	0.00000127618499367937	4.17503728268993	7.69253440623263e-9	569	315	1876	794	4651	64	82	4	146	50	12.894	10.521	35.298	12.461	93.108	1.508	1.455	0.077	2.235	0.855
PTPRN	0	6.56547011062183	0.00000127677703228094	1.09764440677157	7.76077620675273e-9	1	1	1	6	2	329	24	417	60	184	0.023	0.033	0.019	0.094	0.040	7.753	0.426	8.001	0.918	3.145
LGALS12	0	-8.13446280041556	0.00000137316609217629	6.26615539377743	8.41622414919112e-9	2143	777	21078	156	10762	30	100	1	15	0	48.563	25.953	396.594	2.448	215.444	0.707	1.774	0.019	0.230	0.000
PCDH9	0	-4.84912836097295	0.00000138647722208471	3.48495749511377	8.68145917765533e-9	837	318	2186	93	1411	27	83	33	19	36	18.967	10.622	41.131	1.460	28.247	0.636	1.472	0.633	0.291	0.615
